trip_id,ride_id,route_id,date,time,hour_of_day,minute,day_of_week,day_of_week_num,is_weekend,day_type,month,quarter,season,is_peak_hour,is_night_trip,origin_stop_id,origin_name,origin_lat,origin_lon,origin_zone,origin_location_type,destination_stop_id,destination_name,destination_lat,destination_lon,destination_zone,destination_location_type,straight_line_km,road_distance_km,road_factor,distance_slab,vehicle_type,has_ac,vehicle_capacity,vehicle_age_years,route_waypoints,standard_fare_inr,premium_fare_inr,base_fare_charged_inr,night_surcharge_applied,peak_surcharge_applied,rain_surcharge_applied,fare_after_surcharge_inr,discount_type,has_discount,discount_pct,traffic_multiplier,effective_speed_kmh,estimated_travel_min,passenger_count,vehicle_occupancy_pct,weather,final_fare_inr
UTR-000001,RIDE-216739,UTR-NWNW-0001,2024-09-05,21:18,21,18,Thursday,3,0,weekday,9,3,monsoon,0,0,14,Balewadi,18.5793,73.778,northwest,residential,13,Wakad,18.5984,73.7609,northwest,it_suburb,2.785,3.597,1.292,3.0-4.5,AC SUV,1,6,4,5,93,102.3,102.3,0,0,0,102.5,student,1,50,1.01,22.68,9.5,6,100.0,cloudy,51.0
UTR-000002,RIDE-877572,UTR-WTNW-0002,2024-02-26,07:45,7,45,Monday,0,0,weekday,2,1,winter,1,0,6,Kothrud Depot,18.5074,73.8077,west,pickup_point,47,Mahalunge,18.5774,73.7519,northwest,residential,9.757,12.097,1.24,12.0-13.5,Auto Rickshaw,0,3,3,12,279,306.9,279.0,0,1,0,307.0,student,1,50,2.34,8.17,88.8,1,33.3,clear,153.5
UTR-000003,RIDE-246316,UTR-NEET-0003,2024-10-13,17:16,17,16,Sunday,6,1,weekend,10,4,post_monsoon,1,0,28,Vishrantwadi,18.5807,73.8762,northeast,residential,38,Mundhwa,18.5277,73.9264,east,residential,7.921,10.234,1.292,9.0-10.5,Sedan,0,4,11,12,217,238.7,217.0,0,1,0,238.5,none,0,0,1.1,22.19,27.7,3,75.0,partly_cloudy,238.5
UTR-000004,RIDE-671858,UTR-STNE-0004,2024-05-03,09:04,9,4,Friday,4,0,weekday,5,2,summer,1,0,45,Bibwewadi,18.4844,73.8572,south,residential,30,Dhanori,18.5868,73.9034,northeast,residential,12.384,16.847,1.36,16.5-18.0,Sedan,0,4,13,17,372,409.2,372.0,0,1,0,409.0,none,0,0,1.71,15.07,67.1,1,25.0,partly_cloudy,409.0
UTR-000005,RIDE-133326,UTR-NTNT-0005,2024-01-13,14:56,14,56,Saturday,5,1,weekend,1,1,winter,0,0,25,Dighi,18.6186,73.8562,north,residential,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,6.08,7.82,1.286,7.5-9.0,Sedan,0,4,11,8,186,204.6,186.0,0,0,0,186.0,none,0,0,1.18,19.58,24.0,1,25.0,clear,186.0
UTR-000006,RIDE-343962,UTR-STST-0006,2024-12-28,17:31,17,31,Saturday,5,1,weekend,12,4,winter,1,0,43,Undri,18.4561,73.9033,south,residential,42,Kondhwa,18.4683,73.8772,south,residential,3.069,3.642,1.187,3.0-4.5,Hatchback,0,4,2,4,93,102.3,93.0,0,1,0,102.5,none,0,0,1.13,17.87,12.2,1,25.0,clear,102.5
UTR-000007,RIDE-688508,UTR-ETET-0007,2024-01-17,14:28,14,28,Wednesday,2,0,weekday,1,1,winter,0,0,37,Magarpatta,18.5122,73.9284,east,it_hub,31,Viman Nagar,18.5679,73.9143,east,it_suburb,6.369,8.124,1.276,7.5-9.0,AC Sedan,1,4,7,12,186,204.6,204.6,0,0,0,204.5,student,1,50,1.22,20.54,23.7,1,25.0,foggy,102.0
UTR-000008,RIDE-835392,UTR-FENW-0008,2024-06-24,18:21,18,21,Monday,0,0,weekday,6,2,monsoon,1,0,36,Wagholi,18.5619,73.9862,far_east,residential,18,Tathawade,18.6139,73.7601,northwest,residential,24.521,39.044,1.592,21.0+,AC SUV,1,6,1,48,837,920.7,920.7,0,1,0,1013.0,none,0,0,1.94,11.94,196.2,2,33.3,cloudy,1013.0
UTR-000009,RIDE-717889,UTR-STNT-0009,2024-07-01,09:05,9,5,Monday,0,0,weekday,7,3,monsoon,1,0,43,Undri,18.4561,73.9033,south,residential,21,Chinchwad Station,18.6297,73.7997,north,transit_hub,22.179,37.626,1.696,21.0+,Sedan,0,4,6,59,806,886.6,806.0,0,1,1,1019.5,none,0,0,1.84,10.65,212.0,4,100.0,heavy_rain,1019.5
UTR-000010,RIDE-106814,UTR-NWNW-0010,2024-11-24,17:17,17,17,Sunday,6,1,weekend,11,4,post_monsoon,1,0,14,Balewadi,18.5793,73.778,northwest,residential,19,Rahatani,18.6135,73.7772,northwest,residential,3.804,4.5,1.183,4.5-6.0,AC Sedan,1,4,6,8,124,136.4,136.4,0,1,0,150.0,none,0,0,1.39,14.49,18.6,3,75.0,cloudy,150.0
